Result for strategy AverageStrategy
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  1INCH/USDT |      7 |           0.41 |           2.85 |             2.854 |           0.29 | 2 days, 13:43:00 |      2 |       0 |        5 |
|   AAVE/USDT |      7 |          18.62 |         130.35 |           130.484 |          13.05 | 3 days, 16:00:00 |      4 |       0 |        3 |
|    ACM/USDT |      1 |          49.95 |          49.95 |            50.000 |           5.00 |          4:00:00 |      1 |       0 |        0 |
|    ADA/USDT |     13 |           7.41 |          96.38 |            96.475 |           9.65 | 3 days, 16:55:00 |      6 |       0 |        7 |
|   AION/USDT |     11 |           7.01 |          77.16 |            77.242 |           7.72 |  3 days, 4:22:00 |      4 |       0 |        7 |
|   AKRO/USDT |     10 |          10.62 |         106.20 |           106.304 |          10.63 |  2 days, 7:12:00 |      5 |       0 |        5 |
|   ALGO/USDT |      7 |           1.22 |           8.51 |             8.519 |           0.85 | 3 days, 23:26:00 |      3 |       0 |        4 |
|  ALICE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|  ALPHA/USDT |     13 |          -3.55 |         -46.17 |           -46.214 |          -4.62 |  1 day, 18:09:00 |      2 |       0 |       11 |
|   ANKR/USDT |     15 |          13.76 |         206.38 |           206.582 |          20.66 | 3 days, 20:16:00 |      9 |       0 |        6 |
|    ANT/USDT |     12 |          12.38 |         148.61 |           148.761 |          14.88 | 2 days, 21:00:00 |      5 |       0 |        7 |
|   ARDR/USDT |     15 |           8.01 |         120.09 |           120.210 |          12.02 |  3 days, 9:20:00 |      6 |       0 |        9 |
|   ARPA/USDT |     18 |           1.20 |          21.62 |            21.641 |           2.16 | 3 days, 14:40:00 |      6 |       0 |       12 |
|    ASR/USDT |      3 |          10.53 |          31.60 |            31.627 |           3.16 |  1 day, 21:20:00 |      1 |       0 |        2 |
|    ATM/USDT |      2 |          -5.62 |         -11.23 |           -11.244 |          -1.12 |         12:00:00 |      0 |       0 |        2 |
|   ATOM/USDT |     12 |          -2.68 |         -32.19 |           -32.222 |          -3.22 |  2 days, 8:00:00 |      2 |       0 |       10 |
|  AUDIO/USDT |      8 |          15.84 |         126.75 |           126.874 |          12.69 | 3 days, 10:00:00 |      3 |       0 |        5 |
|    AVA/USDT |      7 |          -2.25 |         -15.78 |           -15.799 |          -1.58 |  2 days, 0:34:00 |      1 |       0 |        6 |
|   AVAX/USDT |      9 |           1.23 |          11.09 |            11.096 |           1.11 | 2 days, 10:13:00 |      2 |       0 |        7 |
|    AXS/USDT |      6 |           2.40 |          14.39 |            14.403 |           1.44 |         23:20:00 |      1 |       0 |        5 |
| BADGER/USDT |      1 |          -3.86 |          -3.86 |            -3.865 |          -0.39 |          4:00:00 |      0 |       0 |        1 |
|    BAL/USDT |      9 |           0.03 |           0.24 |             0.237 |           0.02 | 2 days, 12:27:00 |      3 |       0 |        6 |
|   BAND/USDT |     16 |           4.15 |          66.40 |            66.469 |           6.65 | 2 days, 14:00:00 |      5 |       0 |       11 |
|    BAT/USDT |     15 |           4.12 |          61.86 |            61.927 |           6.19 | 2 days, 14:08:00 |      4 |       0 |       11 |
|    BCH/USDT |     11 |           1.57 |          17.27 |            17.283 |           1.73 | 3 days, 13:05:00 |      3 |       0 |        8 |
