Result for strategy ADXMomentum
============================================================== BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+-----------------+--------+---------+----------|
|  1INCH/USDT |     62 |           0.23 |          14.03 |            14.043 |           1.40 |         3:52:00 |     59 |       0 |        3 |
|   AAVE/USDT |     62 |          -0.26 |         -15.96 |           -15.972 |          -1.60 |         5:50:00 |     56 |       0 |        6 |
|    ACM/USDT |     50 |           0.25 |          12.45 |            12.464 |           1.25 |         1:53:00 |     47 |       0 |        3 |
|    ADA/USDT |    128 |          -0.13 |         -16.81 |           -16.828 |          -1.68 |         6:37:00 |    116 |       0 |       12 |
|   AION/USDT |    194 |           0.09 |          17.78 |            17.797 |           1.78 |         5:19:00 |    182 |       0 |       12 |
|   AKRO/USDT |    134 |           0.02 |           3.10 |             3.105 |           0.31 |         4:54:00 |    127 |       0 |        7 |
|   ALGO/USDT |    113 |           0.15 |          17.39 |            17.410 |           1.74 |         5:14:00 |    105 |       0 |        8 |
|  ALICE/USDT |      2 |          -5.09 |         -10.18 |           -10.187 |          -1.02 |         3:30:00 |      1 |       0 |        1 |
|  ALPHA/USDT |    109 |           0.17 |          18.79 |            18.804 |           1.88 |         3:30:00 |    104 |       0 |        5 |
|   ANKR/USDT |    238 |           0.31 |          73.04 |            73.111 |           7.31 |         8:11:00 |    228 |       0 |       10 |
|    ANT/USDT |    132 |           0.40 |          52.83 |            52.882 |           5.29 |         6:21:00 |    127 |       0 |        5 |
|   ARDR/USDT |    215 |           0.11 |          22.90 |            22.920 |           2.29 |         8:38:00 |    202 |       0 |       13 |
|   ARPA/USDT |    260 |           0.53 |         137.73 |           137.867 |          13.79 |         5:29:00 |    249 |       0 |       11 |
|    ASR/USDT |    130 |           0.27 |          35.29 |            35.322 |           3.53 |         4:11:00 |    125 |       0 |        5 |
|    ATM/USDT |    118 |           0.19 |          22.78 |            22.806 |           2.28 |         4:43:00 |    112 |       0 |        6 |
|   ATOM/USDT |    130 |           0.25 |          32.62 |            32.650 |           3.26 |         6:17:00 |    123 |       0 |        7 |
|  AUDIO/USDT |    203 |           0.30 |          61.65 |            61.711 |           6.17 |         4:49:00 |    195 |       0 |        8 |
|    AVA/USDT |     80 |          -0.52 |         -41.47 |           -41.513 |          -4.15 |         7:16:00 |     73 |       0 |        7 |
|   AVAX/USDT |    117 |          -0.15 |         -17.69 |           -17.710 |          -1.77 |         6:02:00 |    110 |       0 |        7 |
|    AXS/USDT |    155 |           0.38 |          59.37 |            59.432 |           5.94 |         3:51:00 |    149 |       0 |        6 |
| BADGER/USDT |     27 |          -0.33 |          -8.97 |            -8.976 |          -0.90 |         6:49:00 |     24 |       0 |        3 |
|    BAL/USDT |    142 |           0.27 |          38.77 |            38.812 |           3.88 |         5:35:00 |    135 |       0 |        7 |
|   BAND/USDT |    181 |           0.27 |          48.48 |            48.533 |           4.85 |         4:12:00 |    172 |       0 |        9 |
|    BAT/USDT |    188 |           0.42 |          79.12 |            79.201 |           7.92 |         5:57:00 |    180 |       0 |        8 |
|    BCH/USDT |    125 |           0.22 |          27.61 |            27.637 |           2.76 |         6:48:00 |    114 |       0 |       11 |
|   BEAM/USDT |    159 |           0.45 |          72.05 |            72.117 |           7.21 |         5:01:00 |    150 |       0 |        9 |
|    BEL/USDT |    131 |           0.05 |           7.02 |             7.029 |           0.70 |         4:29:00 |    123 |       0 |        8 |
|    BLZ/USDT |    128 |          -0.60 |         -76.45 |           -76.524 |          -7.65 |         5:12:00 |    115 |       0 |       13 |
|    BNB/USDT |    153 |           0.24 |          36.69 |            36.725 |           3.67 |         7:10:00 |    141 |       0 |       12 |
|    BNT/USDT |    224 |           0.39 |          86.57 |            86.658 |           8.67 |         5:23:00 |    213 |       0 |       11 |
|    BTC/USDT |     99 |           0.32 |          32.09 |            32.123 |           3.21 |        11:04:00 |     88 |       0 |       11 |
|  BTCST/USDT |     81 |          -0.45 |         -36.47 |           -36.507 |          -3.65 |         5:41:00 |     76 |       0 |        5 |
|    BTS/USDT |    167 |           0.36 |          59.94 |            60.000 |           6.00 |         5:05:00 |    158 |       0 |        9 |
|    BTT/USDT |    181 |           0.25 |          44.88 |            44.928 |           4.49 |         9:08:00 |    168 |       0 |       13 |
|   BZRX/USDT |     88 |          -0.87 |         -76.47 |           -76.547 |          -7.65 |         3:41:00 |     78 |       0 |       10 |
|   CAKE/USDT |     16 |          -0.39 |          -6.25 |            -6.255 |          -0.63 |         9:08:00 |     15 |       0 |        1 |
|   CELO/USDT |     80 |           0.25 |          20.17 |            20.186 |           2.02 |        11:38:00 |     76 |       0 |        4 |
|   CELR/USDT |    224 |           0.35 |          77.94 |            78.015 |           7.80 |         3:30:00 |    215 |       0 |        9 |
|    CHR/USDT |    167 |          -0.28 |         -47.51 |           -47.557 |          -4.76 |         5:53:00 |    155 |       0 |       12 |
|    CHZ/USDT |    178 |           0.41 |          73.20 |            73.272 |           7.33 |         4:24:00 |    168 |       0 |       10 |
|    CKB/USDT |     77 |           0.15 |          11.20 |            11.215 |           1.12 |         5:27:00 |     74 |       0 |        3 |
