Result for strategy ADX_15M_USDT
=============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+-------------------+--------+---------+----------|
|  1INCH/USDT |     48 |          -0.22 |         -10.38 |           -10.389 |          -1.04 |           9:32:00 |     28 |       8 |       12 |
|   AAVE/USDT |     64 |          -0.91 |         -58.06 |           -58.117 |          -5.81 |          13:26:00 |     30 |      21 |       13 |
|    ACM/USDT |     19 |          -0.35 |          -6.67 |            -6.674 |          -0.67 |           9:39:00 |     11 |       4 |        4 |
|    ADA/USDT |     91 |          -0.31 |         -28.52 |           -28.547 |          -2.85 |          17:08:00 |     41 |      39 |       11 |
|   AION/USDT |     93 |           1.31 |         121.74 |           121.859 |          12.19 |          12:43:00 |     59 |      28 |        6 |
|   AKRO/USDT |     50 |           1.65 |          82.30 |            82.387 |           8.24 |           8:22:00 |     38 |       5 |        7 |
|   ALGO/USDT |    106 |           0.22 |          23.10 |            23.125 |           2.31 |          13:33:00 |     48 |      48 |       10 |
|  ALICE/USDT |      7 |          -1.23 |          -8.60 |            -8.609 |          -0.86 |           6:26:00 |      5 |       0 |        2 |
|  ALPHA/USDT |     77 |           0.39 |          29.92 |            29.950 |           3.00 |           7:37:00 |     44 |      18 |       15 |
|   ANKR/USDT |    105 |           1.40 |         146.50 |           146.649 |          14.66 |          10:04:00 |     64 |      32 |        9 |
|    ANT/USDT |     51 |           0.36 |          18.49 |            18.510 |           1.85 |          15:41:00 |     33 |      12 |        6 |
|   ARDR/USDT |     88 |           1.11 |          97.81 |            97.905 |           9.79 |          10:23:00 |     53 |      28 |        7 |
|   ARPA/USDT |     89 |           0.37 |          32.78 |            32.817 |           3.28 |          13:52:00 |     47 |      31 |       11 |
|    ASR/USDT |     41 |           2.21 |          90.57 |            90.663 |           9.07 |           8:26:00 |     25 |      14 |        2 |
|    ATM/USDT |     35 |           1.08 |          37.96 |            37.998 |           3.80 |           9:41:00 |     18 |      13 |        4 |
|   ATOM/USDT |     91 |          -0.01 |          -0.47 |            -0.470 |          -0.05 |          15:31:00 |     44 |      35 |       12 |
|  AUDIO/USDT |     59 |           1.16 |          68.26 |            68.329 |           6.83 |          14:11:00 |     30 |      25 |        4 |
|    AVA/USDT |     50 |           0.78 |          38.95 |            38.986 |           3.90 |          13:45:00 |     27 |      18 |        5 |
|   AVAX/USDT |     50 |           0.57 |          28.28 |            28.312 |           2.83 |          11:30:00 |     29 |      16 |        5 |
|    AXS/USDT |     51 |           0.65 |          32.91 |            32.946 |           3.29 |           7:50:00 |     30 |      13 |        8 |
| BADGER/USDT |      9 |          -0.27 |          -2.41 |            -2.409 |          -0.24 |          12:18:00 |      4 |       4 |        1 |
|    BAL/USDT |     47 |          -0.23 |         -10.59 |           -10.598 |          -1.06 |          12:03:00 |     21 |      20 |        6 |
|   BAND/USDT |    100 |           1.35 |         134.98 |           135.116 |          13.51 |          12:17:00 |     58 |      33 |        9 |
|    BAT/USDT |     77 |           0.56 |          43.26 |            43.302 |           4.33 |          21:27:00 |     43 |      27 |        7 |
|    BCH/USDT |     74 |           0.10 |           7.16 |             7.166 |           0.72 |          19:03:00 |     46 |      21 |        7 |
|   BEAM/USDT |     94 |           0.49 |          46.09 |            46.134 |           4.61 |          13:40:00 |     55 |      30 |        9 |
|    BEL/USDT |     57 |           1.12 |          63.92 |            63.985 |           6.40 |          10:35:00 |     32 |      20 |        5 |
|    BLZ/USDT |     62 |           0.31 |          18.99 |            19.006 |           1.90 |          11:04:00 |     32 |      20 |       10 |
|    BNB/USDT |     61 |           0.17 |          10.48 |            10.493 |           1.05 |          18:38:00 |     35 |      20 |        6 |
|    BNT/USDT |     78 |          -0.73 |         -57.27 |           -57.330 |          -5.73 |          16:02:00 |     37 |      28 |       13 |
|    BTC/USDT |     54 |           0.24 |          13.00 |            13.010 |           1.30 |          22:12:00 |     31 |      19 |        4 |
|  BTCST/USDT |     32 |          -0.37 |         -11.85 |           -11.862 |          -1.19 |          10:13:00 |     21 |       2 |        9 |
|    BTS/USDT |     91 |          -0.26 |         -23.48 |           -23.504 |          -2.35 |          13:21:00 |     47 |      34 |       10 |
|    BTT/USDT |     66 |           0.50 |          33.24 |            33.273 |           3.33 |          18:48:00 |     36 |      26 |        4 |
|   BZRX/USDT |     48 |          -1.67 |         -80.22 |           -80.299 |          -8.03 |          10:34:00 |     24 |      10 |       14 |
|   CAKE/USDT |     14 |          -0.43 |          -6.07 |            -6.080 |          -0.61 |          15:16:00 |      7 |       4 |        3 |
|   CELO/USDT |     34 |           0.31 |          10.49 |            10.498 |           1.05 |          10:20:00 |     14 |      17 |        3 |
|   CELR/USDT |     93 |           0.40 |          37.19 |            37.232 |           3.72 |          16:29:00 |     52 |      26 |       15 |
|    CHR/USDT |     72 |          -0.29 |         -20.68 |           -20.705 |          -2.07 |          12:10:00 |     38 |      21 |       13 |
|    CHZ/USDT |     97 |          -0.03 |          -3.13 |            -3.130 |          -0.31 |          11:40:00 |     47 |      39 |       11 |
|    CKB/USDT |     31 |           1.04 |          32.27 |            32.304 |           3.23 |           8:31:00 |     18 |      10 |        3 |
|   COMP/USDT |     63 |          -0.64 |         -40.61 |           -40.648 |          -4.06 |          13:03:00 |     36 |      14 |       13 |
|    COS/USDT |     89 |           0.50 |          44.13 |            44.171 |           4.42 |          14:39:00 |     45 |      37 |        7 |
|   COTI/USDT |     84 |          -0.52 |         -43.94 |           -43.982 |          -4.40 |          12:09:00 |     35 |      33 |       16 |
|    CRV/USDT |     46 |           0.74 |          33.90 |            33.938 |           3.39 |           9:06:00 |     29 |       9 |        8 |
|    CTK/USDT |     43 |           0.96 |          41.44 |            41.481 |           4.15 |          10:45:00 |     24 |      16 |        3 |
|   CTSI/USDT |     92 |          -0.05 |          -4.53 |            -4.530 |          -0.45 |          12:30:00 |     47 |      29 |       16 |
|   CTXC/USDT |     61 |          -0.83 |         -50.81 |           -50.865 |          -5.09 |          17:18:00 |     25 |      27 |        9 |
|    CVC/USDT |     87 |           0.46 |          39.60 |            39.637 |           3.96 |          13:08:00 |     48 |      30 |        9 |
|   DASH/USDT |     68 |           0.16 |          10.68 |            10.688 |           1.07 |          14:23:00 |     40 |      20 |        8 |
|   DATA/USDT |     76 |           0.87 |          66.16 |            66.228 |           6.62 |          12:59:00 |     46 |      24 |        6 |
|    DCR/USDT |     58 |           0.26 |          15.30 |            15.311 |           1.53 |          18:23:00 |     33 |      18 |        7 |
|   DEGO/USDT |      6 |           2.60 |          15.61 |            15.630 |           1.56 |           5:35:00 |      5 |       0 |        1 |
|   DENT/USDT |    106 |           1.15 |         121.91 |           122.034 |          12.20 |          12:59:00 |     62 |      39 |        5 |
|    DGB/USDT |     53 |           0.27 |          14.28 |            14.294 |           1.43 |          16:35:00 |     22 |      27 |        4 |
|    DIA/USDT |     47 |           0.52 |          24.57 |            24.597 |           2.46 |          10:49:00 |     25 |      15 |        7 |
|    DNT/USDT |     37 |           0.31 |          11.55 |            11.560 |           1.16 |          10:14:00 |     21 |      10 |        6 |
|   DOCK/USDT |     90 |           1.63 |         146.27 |           146.414 |          14.64 |          11:18:00 |     52 |      32 |        6 |
|   DODO/USDT |     13 |           2.42 |          31.45 |            31.483 |           3.15 |           6:36:00 |      8 |       4 |        1 |
|   DOGE/USDT |     75 |           0.55 |          41.23 |            41.275 |           4.13 |          21:32:00 |     43 |      27 |        5 |
|    DOT/USDT |     39 |          -0.31 |         -12.09 |           -12.098 |          -1.21 |          10:19:00 |     24 |       9 |        6 |
|   DREP/USDT |    103 |           0.65 |          67.08 |            67.152 |           6.72 |          12:25:00 |     59 |      35 |        9 |
|   DUSK/USDT |     80 |           0.28 |          22.70 |            22.721 |           2.27 |          11:38:00 |     44 |      26 |       10 |
|   EGLD/USDT |     46 |           0.56 |          25.86 |            25.889 |           2.59 |          13:27:00 |     24 |      17 |        5 |
|    ENJ/USDT |     65 |           0.20 |          12.83 |            12.847 |           1.28 |          17:33:00 |     33 |      26 |        6 |
|    EOS/USDT |     57 |           0.46 |          26.17 |            26.200 |           2.62 |          17:33:00 |     32 |      22 |        3 |
|    ETC/USDT |     58 |           1.21 |          70.20 |            70.275 |           7.03 |          13:55:00 |     37 |      20 |        1 |
|    ETH/USDT |     27 |           0.17 |           4.57 |             4.572 |           0.46 |          17:17:00 |     17 |       8 |        2 |
|    FET/USDT |     81 |           0.04 |           2.98 |             2.981 |           0.30 |          12:05:00 |     44 |      25 |       12 |
|    FIL/USDT |     44 |           0.20 |           8.72 |             8.724 |           0.87 |          14:22:00 |     21 |      20 |        3 |
|    FIO/USDT |     42 |           0.94 |          39.61 |            39.645 |           3.96 |          17:24:00 |     24 |      15 |        3 |
|   FIRO/USDT |     16 |           2.09 |          33.39 |            33.422 |           3.34 |           7:47:00 |     11 |       4 |        1 |
|    FIS/USDT |      9 |           3.54 |          31.90 |            31.931 |           3.19 |           5:53:00 |      6 |       2 |        1 |
|    FLM/USDT |     35 |          -0.06 |          -1.98 |            -1.987 |          -0.20 |           8:39:00 |     18 |      11 |        6 |
|    FTM/USDT |     93 |          -0.13 |         -11.69 |           -11.700 |          -1.17 |           8:56:00 |     54 |      23 |       16 |
|    FTT/USDT |     47 |          -0.24 |         -11.33 |           -11.344 |          -1.13 |    1 day, 3:41:00 |     24 |      19 |        4 |
|    FUN/USDT |     79 |          -0.11 |          -8.72 |            -8.731 |          -0.87 |          16:29:00 |     44 |      23 |       12 |
|    GRT/USDT |     18 |           1.57 |          28.19 |            28.218 |           2.82 |           8:15:00 |     13 |       3 |        2 |
|    GTO/USDT |     85 |           1.14 |          96.82 |            96.912 |           9.69 |          11:38:00 |     52 |      28 |        5 |
|    GXS/USDT |     66 |           0.67 |          44.29 |            44.336 |           4.43 |          15:44:00 |     42 |      17 |        7 |
|   HARD/USDT |     39 |           0.06 |           2.20 |             2.202 |           0.22 |           9:41:00 |     19 |      13 |        7 |
|   HBAR/USDT |     71 |           1.74 |         123.27 |           123.397 |          12.34 |          11:17:00 |     42 |      28 |        1 |
|   HIVE/USDT |     59 |           0.40 |          23.54 |            23.563 |           2.36 |          14:17:00 |     33 |      21 |        5 |
|    HNT/USDT |     31 |           1.45 |          45.00 |            45.046 |           4.50 |          11:21:00 |     19 |      11 |        1 |
|    HOT/USDT |     78 |           0.86 |          67.33 |            67.401 |           6.74 |          12:50:00 |     39 |      35 |        4 |
|    ICX/USDT |     61 |           0.95 |          57.70 |            57.756 |           5.78 |          16:37:00 |     38 |      18 |        5 |
