Result for strategy AdxSmas
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  1INCH/USDT |     26 |          -0.81 |         -21.03 |           -21.049 |          -2.10 |         15:53:00 |     10 |       0 |       16 |
|   AAVE/USDT |     31 |           1.41 |          43.64 |            43.684 |           4.37 |         23:50:00 |     19 |       0 |       12 |
|    ACM/USDT |     11 |          -1.04 |         -11.39 |           -11.400 |          -1.14 |         12:55:00 |      4 |       0 |        7 |
|    ADA/USDT |     66 |           0.65 |          42.64 |            42.680 |           4.27 |         21:05:00 |     27 |       0 |       39 |
|   AION/USDT |     54 |           0.09 |           4.64 |             4.646 |           0.46 |         20:54:00 |     23 |       0 |       31 |
|   AKRO/USDT |     29 |          -0.31 |          -8.88 |            -8.890 |          -0.89 |         15:58:00 |     15 |       0 |       14 |
|   ALGO/USDT |     51 |          -0.14 |          -7.22 |            -7.227 |          -0.72 |         20:56:00 |     24 |       0 |       27 |
|  ALICE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|  ALPHA/USDT |     33 |          -1.20 |         -39.68 |           -39.721 |          -3.97 |         19:38:00 |     17 |       0 |       16 |
|   ANKR/USDT |     68 |           1.66 |         112.93 |           113.047 |          11.30 |         18:20:00 |     33 |       0 |       35 |
|    ANT/USDT |     42 |           0.74 |          30.90 |            30.933 |           3.09 |         17:29:00 |     22 |       0 |       20 |
|   ARDR/USDT |     51 |           0.07 |           3.50 |             3.507 |           0.35 |   1 day, 8:20:00 |     29 |       0 |       22 |
|   ARPA/USDT |     62 |           1.01 |          62.44 |            62.505 |           6.25 |         21:22:00 |     33 |       0 |       29 |
|    ASR/USDT |     25 |           3.94 |          98.57 |            98.667 |           9.87 |         14:24:00 |     18 |       0 |        7 |
|    ATM/USDT |     25 |           1.65 |          41.13 |            41.172 |           4.12 |         20:22:00 |     12 |       0 |       13 |
|   ATOM/USDT |     50 |          -0.60 |         -30.00 |           -30.035 |          -3.00 |   1 day, 3:10:00 |     20 |       0 |       30 |
|  AUDIO/USDT |     34 |           2.64 |          89.62 |            89.713 |           8.97 |   1 day, 1:35:00 |     23 |       0 |       11 |
|    AVA/USDT |     20 |          -0.57 |         -11.36 |           -11.372 |          -1.14 |         18:18:00 |      6 |       0 |       14 |
|   AVAX/USDT |     29 |           0.29 |           8.32 |             8.328 |           0.83 |         21:39:00 |     14 |       0 |       15 |
|    AXS/USDT |     30 |           4.66 |         139.75 |           139.891 |          13.99 |         12:48:00 |     22 |       0 |        8 |
| BADGER/USDT |      6 |          -2.46 |         -14.75 |           -14.765 |          -1.48 |         20:50:00 |      2 |       0 |        4 |
|    BAL/USDT |     28 |           1.10 |          30.86 |            30.892 |           3.09 |         22:45:00 |     14 |       0 |       14 |
|   BAND/USDT |     56 |           0.37 |          20.74 |            20.763 |           2.08 |         21:48:00 |     27 |       0 |       29 |
|    BAT/USDT |     46 |           1.99 |          91.42 |            91.515 |           9.15 |   1 day, 0:10:00 |     26 |       0 |       20 |
|    BCH/USDT |     41 |          -0.11 |          -4.47 |            -4.477 |          -0.45 |   1 day, 2:12:00 |     18 |       0 |       23 |
|   BEAM/USDT |     51 |          -0.74 |         -37.56 |           -37.593 |          -3.76 |         21:19:00 |     21 |       0 |       30 |
|    BEL/USDT |     33 |          -0.24 |          -7.92 |            -7.929 |          -0.79 |         17:42:00 |     16 |       0 |       17 |
|    BLZ/USDT |     36 |          -0.33 |         -11.88 |           -11.889 |          -1.19 |         20:22:00 |     17 |       0 |       19 |
|    BNB/USDT |     40 |           1.49 |          59.44 |            59.500 |           5.95 |   1 day, 2:33:00 |     22 |       0 |       18 |
|    BNT/USDT |     54 |           0.55 |          29.55 |            29.582 |           2.96 |   1 day, 1:21:00 |     23 |       0 |       31 |
|    BTC/USDT |     45 |          -0.31 |         -14.00 |           -14.013 |          -1.40 |   1 day, 3:33:00 |     15 |       0 |       30 |
|  BTCST/USDT |     18 |          -4.28 |         -77.00 |           -77.078 |          -7.71 |         21:53:00 |      7 |       0 |       11 |
|    BTS/USDT |     49 |           0.14 |           7.03 |             7.037 |           0.70 |         21:47:00 |     16 |       0 |       33 |
|    BTT/USDT |     46 |          -0.84 |         -38.44 |           -38.483 |          -3.85 |         20:27:00 |     15 |       0 |       31 |
|   BZRX/USDT |     25 |          -2.27 |         -56.68 |           -56.736 |          -5.67 |         11:29:00 |     10 |       0 |       15 |
|   CAKE/USDT |      3 |          -6.04 |         -18.12 |           -18.138 |          -1.81 |          9:20:00 |      1 |       0 |        2 |
|   CELO/USDT |     17 |           3.92 |          66.64 |            66.705 |           6.67 |         19:04:00 |     10 |       0 |        7 |
|   CELR/USDT |     61 |          -0.19 |         -11.64 |           -11.655 |          -1.17 |         23:40:00 |     30 |       0 |       31 |
|    CHR/USDT |     54 |           2.55 |         137.91 |           138.053 |          13.81 |         14:06:00 |     33 |       0 |       21 |
|    CHZ/USDT |     61 |           1.52 |          92.56 |            92.656 |           9.27 |         20:32:00 |     31 |       0 |       30 |
|    CKB/USDT |     17 |          -4.45 |         -75.72 |           -75.796 |          -7.58 |         17:21:00 |      3 |       0 |       14 |
|   COMP/USDT |     32 |          -1.22 |         -39.14 |           -39.179 |          -3.92 |         18:13:00 |     11 |       0 |       21 |
|    COS/USDT |     64 |           0.64 |          40.98 |            41.026 |           4.10 |   1 day, 0:14:00 |     28 |       0 |       36 |
|   COTI/USDT |     54 |           2.29 |         123.92 |           124.046 |          12.40 |         15:48:00 |     30 |       0 |       24 |
|    CRV/USDT |     24 |          -2.31 |         -55.45 |           -55.501 |          -5.55 |         20:18:00 |      9 |       0 |       15 |
|    CTK/USDT |     17 |           1.93 |          32.87 |            32.903 |           3.29 |         17:56:00 |     11 |       0 |        6 |
|   CTSI/USDT |     51 |           1.12 |          57.24 |            57.302 |           5.73 |         19:16:00 |     23 |       0 |       28 |
|   CTXC/USDT |     43 |           1.65 |          70.90 |            70.974 |           7.10 |         21:50:00 |     24 |       0 |       19 |
|    CVC/USDT |     42 |           1.95 |          81.97 |            82.048 |           8.20 |         20:03:00 |     24 |       0 |       18 |
|   DASH/USDT |     34 |          -0.11 |          -3.69 |            -3.694 |          -0.37 |   1 day, 0:32:00 |     13 |       0 |       21 |
|   DATA/USDT |     41 |          -0.17 |          -6.87 |            -6.878 |          -0.69 |         21:51:00 |     15 |       0 |       26 |
|    DCR/USDT |     37 |           1.05 |          39.00 |            39.035 |           3.90 |   1 day, 6:18:00 |     19 |       0 |       18 |
|   DEGO/USDT |      3 |          -1.72 |          -5.17 |            -5.175 |          -0.52 |          5:40:00 |      2 |       0 |        1 |
|   DENT/USDT |     54 |           0.78 |          41.93 |            41.974 |           4.20 |   1 day, 0:09:00 |     27 |       0 |       27 |
