Result for strategy BbandRsi
=============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+-------------------+--------+---------+----------|
|  1INCH/USDT |     12 |           1.90 |          22.75 |            22.774 |           2.28 |    1 day, 1:50:00 |      9 |       0 |        3 |
|   AAVE/USDT |      9 |           8.27 |          74.40 |            74.472 |           7.45 |   2 days, 1:27:00 |      9 |       0 |        0 |
|    ACM/USDT |      4 |           5.42 |          21.67 |            21.689 |           2.17 |   2 days, 2:15:00 |      3 |       0 |        1 |
|    ADA/USDT |     23 |           5.09 |         117.17 |           117.284 |          11.73 |   3 days, 0:44:00 |     20 |       0 |        3 |
|   AION/USDT |     19 |           3.53 |          67.10 |            67.171 |           6.72 |  3 days, 16:38:00 |     14 |       0 |        5 |
|   AKRO/USDT |     11 |           1.69 |          18.64 |            18.662 |           1.87 |   1 day, 10:22:00 |      8 |       0 |        3 |
|   ALGO/USDT |     16 |           2.10 |          33.61 |            33.646 |           3.36 |  3 days, 13:26:00 |     11 |       0 |        5 |
|  ALICE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |      0 |       0 |        0 |
|  ALPHA/USDT |     13 |           4.58 |          59.59 |            59.650 |           5.97 |    1 day, 4:46:00 |     11 |       0 |        2 |
|   ANKR/USDT |     14 |           4.58 |          64.08 |            64.146 |           6.41 |   1 day, 22:30:00 |     11 |       0 |        3 |
|    ANT/USDT |     11 |           6.76 |          74.39 |            74.467 |           7.45 |   1 day, 23:44:00 |      9 |       0 |        2 |
|   ARDR/USDT |     15 |           3.40 |          50.95 |            51.000 |           5.10 |  2 days, 23:00:00 |     11 |       0 |        4 |
|   ARPA/USDT |     20 |           5.39 |         107.87 |           107.973 |          10.80 |   2 days, 0:42:00 |     16 |       0 |        4 |
|    ASR/USDT |      4 |           9.99 |          39.96 |            40.000 |           4.00 |    1 day, 4:00:00 |      4 |       0 |        0 |
|    ATM/USDT |      7 |          -6.87 |         -48.10 |           -48.144 |          -4.81 |   3 days, 7:00:00 |      3 |       0 |        4 |
|   ATOM/USDT |     19 |           3.06 |          58.12 |            58.182 |           5.82 |   4 days, 1:19:00 |     15 |       0 |        4 |
|  AUDIO/USDT |      8 |           1.24 |           9.90 |             9.909 |           0.99 |  2 days, 15:45:00 |      6 |       0 |        2 |
|    AVA/USDT |      4 |           9.99 |          39.96 |            40.000 |           4.00 |    1 day, 3:00:00 |      4 |       0 |        0 |
|   AVAX/USDT |      6 |          -1.72 |         -10.34 |           -10.350 |          -1.04 |   3 days, 0:00:00 |      4 |       0 |        2 |
|    AXS/USDT |      9 |           2.18 |          19.63 |            19.650 |           1.96 |   1 day, 15:00:00 |      7 |       0 |        2 |
| BADGER/USDT |      2 |           9.99 |          19.98 |            20.000 |           2.00 |    1 day, 4:30:00 |      2 |       0 |        0 |
|    BAL/USDT |     11 |          -6.80 |         -74.83 |           -74.909 |          -7.49 |  5 days, 13:11:00 |      5 |       0 |        6 |
