Result for strategy BinHV27
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+--------+---------+----------|
|  1INCH/USDT |     36 |           0.65 |          23.32 |            23.347 |           2.33 |        5:08:00 |     26 |       0 |       10 |
|   AAVE/USDT |     68 |           0.34 |          23.27 |            23.289 |           2.33 |        5:00:00 |     39 |       0 |       29 |
|    ACM/USDT |      5 |           0.58 |           2.91 |             2.918 |           0.29 |        6:38:00 |      2 |       0 |        3 |
|    ADA/USDT |    103 |           0.00 |           0.07 |             0.075 |           0.01 |        4:53:00 |     52 |       0 |       51 |
|   AION/USDT |    106 |          -0.07 |          -7.59 |            -7.602 |          -0.76 |        4:28:00 |     63 |       0 |       43 |
|   AKRO/USDT |     54 |           0.54 |          29.29 |            29.315 |           2.93 |        3:42:00 |     36 |       0 |       18 |
|   ALGO/USDT |    132 |           0.12 |          15.76 |            15.775 |           1.58 |        4:26:00 |     79 |       0 |       53 |
|  ALICE/USDT |      1 |         -10.69 |         -10.69 |           -10.698 |          -1.07 |        7:25:00 |      0 |       0 |        1 |
|  ALPHA/USDT |     61 |          -0.20 |         -12.35 |           -12.364 |          -1.24 |        4:44:00 |     37 |       0 |       24 |
|   ANKR/USDT |     98 |           0.38 |          37.11 |            37.149 |           3.71 |        4:36:00 |     63 |       0 |       35 |
|    ANT/USDT |     94 |           0.39 |          36.66 |            36.696 |           3.67 |        4:47:00 |     56 |       0 |       38 |
|   ARDR/USDT |    136 |          -0.23 |         -31.60 |           -31.628 |          -3.16 |        4:02:00 |     83 |       0 |       53 |
|   ARPA/USDT |    167 |           0.26 |          44.02 |            44.062 |           4.41 |        4:59:00 |    101 |       0 |       66 |
|    ASR/USDT |     23 |           1.30 |          29.86 |            29.890 |           2.99 |        4:05:00 |     13 |       0 |       10 |
|    ATM/USDT |     22 |           3.05 |          67.02 |            67.092 |           6.71 |        4:56:00 |     16 |       0 |        6 |
|   ATOM/USDT |    131 |           0.32 |          41.80 |            41.841 |           4.18 |        4:49:00 |     83 |       0 |       48 |
|  AUDIO/USDT |     58 |          -0.54 |         -31.61 |           -31.639 |          -3.16 |        5:28:00 |     26 |       0 |       32 |
|    AVA/USDT |     61 |           0.63 |          38.70 |            38.738 |           3.87 |        4:00:00 |     42 |       0 |       19 |
|   AVAX/USDT |     67 |          -0.17 |         -11.12 |           -11.135 |          -1.11 |        5:01:00 |     37 |       0 |       30 |
|    AXS/USDT |     52 |           0.25 |          12.89 |            12.898 |           1.29 |        5:46:00 |     28 |       0 |       24 |
| BADGER/USDT |     14 |          -0.59 |          -8.26 |            -8.268 |          -0.83 |        5:02:00 |      6 |       0 |        8 |
|    BAL/USDT |     93 |          -0.12 |         -11.26 |           -11.267 |          -1.13 |        5:04:00 |     49 |       0 |       44 |
|   BAND/USDT |    153 |           0.64 |          97.16 |            97.254 |           9.73 |        4:31:00 |     95 |       0 |       58 |
|    BAT/USDT |    119 |           0.24 |          28.00 |            28.026 |           2.80 |        5:20:00 |     65 |       0 |       54 |
|    BCH/USDT |     98 |          -0.22 |         -21.62 |           -21.640 |          -2.16 |        4:53:00 |     60 |       0 |       38 |
|   BEAM/USDT |     99 |           0.16 |          15.76 |            15.780 |           1.58 |        4:58:00 |     62 |       0 |       37 |
|    BEL/USDT |     98 |           0.14 |          13.83 |            13.843 |           1.38 |        5:20:00 |     57 |       0 |       41 |
|    BLZ/USDT |     90 |          -0.73 |         -65.71 |           -65.775 |          -6.58 |        5:28:00 |     46 |       0 |       44 |
|    BNB/USDT |     90 |           0.08 |           6.93 |             6.936 |           0.69 |        4:44:00 |     54 |       0 |       36 |
|    BNT/USDT |    155 |          -0.21 |         -31.78 |           -31.813 |          -3.18 |        4:12:00 |     98 |       0 |       57 |
|    BTC/USDT |     62 |           0.16 |          10.07 |            10.080 |           1.01 |        5:22:00 |     34 |       0 |       28 |
|  BTCST/USDT |     21 |           0.54 |          11.25 |            11.259 |           1.13 |        5:08:00 |     14 |       0 |        7 |
|    BTS/USDT |    188 |           0.07 |          12.63 |            12.640 |           1.26 |        3:45:00 |    130 |       0 |       58 |
|    BTT/USDT |    134 |           0.25 |          32.95 |            32.983 |           3.30 |        4:21:00 |     87 |       0 |       47 |
|   BZRX/USDT |     68 |          -0.56 |         -38.11 |           -38.153 |          -3.82 |        5:29:00 |     34 |       0 |       34 |
|   CAKE/USDT |      7 |           2.99 |          20.90 |            20.922 |           2.09 |        3:44:00 |      7 |       0 |        0 |
|   CELO/USDT |     20 |           2.22 |          44.43 |            44.476 |           4.45 |        2:48:00 |     17 |       0 |        3 |
|   CELR/USDT |    112 |           0.20 |          22.50 |            22.527 |           2.25 |        4:03:00 |     76 |       0 |       36 |
|    CHR/USDT |    123 |          -0.05 |          -5.95 |            -5.952 |          -0.60 |        4:41:00 |     69 |       0 |       54 |
|    CHZ/USDT |     73 |           0.55 |          40.23 |            40.271 |           4.03 |        4:34:00 |     46 |       0 |       27 |
|    CKB/USDT |     24 |           1.48 |          35.48 |            35.517 |           3.55 |        3:36:00 |     19 |       0 |        5 |
|   COMP/USDT |     95 |           0.05 |           4.28 |             4.283 |           0.43 |        4:47:00 |     54 |       0 |       41 |
|    COS/USDT |    115 |           0.44 |          50.50 |            50.552 |           5.06 |        4:10:00 |     75 |       0 |       40 |
|   COTI/USDT |    110 |           0.27 |          29.70 |            29.733 |           2.97 |        4:40:00 |     75 |       0 |       35 |
|    CRV/USDT |     64 |           1.36 |          87.19 |            87.277 |           8.73 |        4:27:00 |     40 |       0 |       24 |
|    CTK/USDT |     57 |          -0.71 |         -40.58 |           -40.618 |          -4.06 |        5:20:00 |     33 |       0 |       24 |
|   CTSI/USDT |    131 |           0.43 |          56.03 |            56.089 |           5.61 |        4:31:00 |     82 |       0 |       49 |
|   CTXC/USDT |    134 |          -0.14 |         -18.42 |           -18.437 |          -1.84 |        4:17:00 |     76 |       0 |       58 |
|    CVC/USDT |    154 |           0.07 |          10.52 |            10.532 |           1.05 |        4:48:00 |     97 |       0 |       57 |
|   DASH/USDT |    108 |          -0.14 |         -14.68 |           -14.695 |          -1.47 |        5:05:00 |     64 |       0 |       44 |
|   DATA/USDT |    125 |          -0.17 |         -21.57 |           -21.591 |          -2.16 |        4:07:00 |     65 |       0 |       60 |
|    DCR/USDT |    106 |           0.05 |           5.27 |             5.270 |           0.53 |        3:58:00 |     65 |       0 |       41 |
|   DEGO/USDT |      3 |           2.87 |           8.62 |             8.627 |           0.86 |        3:15:00 |      3 |       0 |        0 |
|   DENT/USDT |    177 |           0.36 |          63.04 |            63.099 |           6.31 |        3:38:00 |    110 |       0 |       67 |
|    DGB/USDT |     64 |           0.30 |          19.09 |            19.111 |           1.91 |        4:02:00 |     40 |       0 |       24 |
|    DIA/USDT |     58 |           1.52 |          88.39 |            88.477 |           8.85 |        4:13:00 |     42 |       0 |       16 |
|    DNT/USDT |     39 |           1.49 |          58.30 |            58.358 |           5.84 |        4:43:00 |     26 |       0 |       13 |
|   DOCK/USDT |    149 |           0.45 |          66.62 |            66.690 |           6.67 |        4:02:00 |    102 |       0 |       47 |
|   DODO/USDT |     13 |          -0.13 |          -1.66 |            -1.659 |          -0.17 |        5:05:00 |      6 |       0 |        7 |
|   DOGE/USDT |     67 |           1.21 |          80.83 |            80.915 |           8.09 |        4:10:00 |     42 |       0 |       25 |
|    DOT/USDT |     63 |           0.31 |          19.78 |            19.799 |           1.98 |        4:47:00 |     40 |       0 |       23 |
