Result for strategy ClucMay72018
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+--------+---------+----------|
|  1INCH/USDT |     93 |           0.00 |           0.44 |             0.439 |           0.04 |        0:11:00 |     76 |       0 |       17 |
|   AAVE/USDT |     85 |           0.28 |          23.61 |            23.636 |           2.36 |        0:12:00 |     73 |       0 |       12 |
|    ACM/USDT |     36 |           0.48 |          17.40 |            17.415 |           1.74 |        0:08:00 |     33 |       0 |        3 |
|    ADA/USDT |     93 |           0.15 |          13.56 |            13.576 |           1.36 |        0:09:00 |     79 |       0 |       14 |
|   AION/USDT |    107 |          -0.01 |          -1.40 |            -1.396 |          -0.14 |        0:24:00 |     82 |       0 |       25 |
|   AKRO/USDT |    103 |          -0.29 |         -29.70 |           -29.727 |          -2.97 |        0:14:00 |     78 |       0 |       25 |
|   ALGO/USDT |    128 |           0.09 |          11.24 |            11.254 |           1.13 |        0:10:00 |    105 |       0 |       23 |
|  ALICE/USDT |     21 |           0.11 |           2.41 |             2.415 |           0.24 |        0:03:00 |     18 |       0 |        3 |
|  ALPHA/USDT |    177 |          -0.01 |          -1.15 |            -1.148 |          -0.11 |        0:14:00 |    143 |       0 |       34 |
|   ANKR/USDT |    153 |          -0.16 |         -24.34 |           -24.361 |          -2.44 |        0:17:00 |    116 |       0 |       37 |
|    ANT/USDT |     83 |           0.13 |          11.16 |            11.166 |           1.12 |        0:19:00 |     69 |       0 |       14 |
|   ARDR/USDT |     66 |          -0.08 |          -4.99 |            -4.993 |          -0.50 |        0:21:00 |     49 |       0 |       17 |
|   ARPA/USDT |    104 |           0.04 |           4.47 |             4.474 |           0.45 |        0:26:00 |     83 |       0 |       21 |
|    ASR/USDT |     71 |           0.56 |          39.92 |            39.958 |           4.00 |        0:07:00 |     66 |       0 |        5 |
|    ATM/USDT |     60 |           0.27 |          16.25 |            16.265 |           1.63 |        0:13:00 |     52 |       0 |        8 |
|   ATOM/USDT |     73 |           0.23 |          16.57 |            16.587 |           1.66 |        0:10:00 |     62 |       0 |       11 |
|  AUDIO/USDT |     82 |          -0.50 |         -41.31 |           -41.350 |          -4.13 |        0:22:00 |     59 |       0 |       23 |
|    AVA/USDT |     53 |           0.38 |          20.27 |            20.293 |           2.03 |        0:29:00 |     43 |       0 |       10 |
|   AVAX/USDT |     82 |          -0.06 |          -4.66 |            -4.662 |          -0.47 |        0:20:00 |     63 |       0 |       19 |
|    AXS/USDT |    152 |           0.24 |          37.03 |            37.068 |           3.71 |        0:13:00 |    128 |       0 |       24 |
| BADGER/USDT |      8 |          -0.06 |          -0.45 |            -0.448 |          -0.04 |        0:41:00 |      6 |       0 |        2 |
|    BAL/USDT |     75 |           0.16 |          11.64 |            11.654 |           1.17 |        0:16:00 |     63 |       0 |       12 |
|   BAND/USDT |    166 |           0.47 |          78.64 |            78.719 |           7.87 |        0:08:00 |    150 |       0 |       16 |
|    BAT/USDT |     72 |          -0.12 |          -8.48 |            -8.493 |          -0.85 |        0:12:00 |     59 |       0 |       13 |
|    BCH/USDT |     45 |          -0.01 |          -0.24 |            -0.239 |          -0.02 |        0:05:00 |     37 |       0 |        8 |
|   BEAM/USDT |     89 |           0.18 |          15.66 |            15.672 |           1.57 |        0:21:00 |     73 |       0 |       16 |
|    BEL/USDT |    151 |          -0.18 |         -27.63 |           -27.662 |          -2.77 |        0:19:00 |    117 |       0 |       34 |
|    BLZ/USDT |    115 |          -0.05 |          -5.38 |            -5.383 |          -0.54 |        0:15:00 |     92 |       0 |       23 |
|    BNB/USDT |     51 |          -0.48 |         -24.55 |           -24.572 |          -2.46 |        0:11:00 |     37 |       0 |       14 |
|    BNT/USDT |     66 |          -0.05 |          -3.06 |            -3.063 |          -0.31 |        0:31:00 |     48 |       0 |       18 |
|    BTC/USDT |     19 |           0.02 |           0.41 |             0.415 |           0.04 |        0:09:00 |     16 |       0 |        3 |
|  BTCST/USDT |     75 |           0.37 |          27.72 |            27.743 |           2.77 |        0:11:00 |     66 |       0 |        9 |
|    BTS/USDT |     81 |          -0.35 |         -28.18 |           -28.212 |          -2.82 |        0:20:00 |     60 |       0 |       21 |
|    BTT/USDT |     55 |           0.09 |           5.11 |             5.119 |           0.51 |        0:21:00 |     43 |       0 |       12 |
|   BZRX/USDT |    213 |          -0.11 |         -22.63 |           -22.656 |          -2.27 |        0:12:00 |    170 |       0 |       43 |
|   CAKE/USDT |     32 |           0.23 |           7.21 |             7.220 |           0.72 |        0:05:00 |     28 |       0 |        4 |
|   CELO/USDT |     29 |           0.42 |          12.10 |            12.114 |           1.21 |        0:23:00 |     25 |       0 |        4 |
|   CELR/USDT |    136 |           0.43 |          57.99 |            58.052 |           5.81 |        0:20:00 |    117 |       0 |       19 |
|    CHR/USDT |    133 |           0.14 |          18.99 |            19.010 |           1.90 |        0:17:00 |    114 |       0 |       19 |
|    CHZ/USDT |     94 |          -0.19 |         -17.73 |           -17.752 |          -1.78 |        0:15:00 |     72 |       0 |       22 |
|    CKB/USDT |     28 |          -0.05 |          -1.42 |            -1.425 |          -0.14 |        0:49:00 |     20 |       0 |        8 |
|   COMP/USDT |     72 |          -0.45 |         -32.30 |           -32.332 |          -3.23 |        0:24:00 |     53 |       0 |       19 |
|    COS/USDT |     85 |           0.33 |          27.95 |            27.974 |           2.80 |        0:27:00 |     68 |       0 |       17 |
|   COTI/USDT |    135 |           0.26 |          35.13 |            35.162 |           3.52 |        0:15:00 |    115 |       0 |       20 |
|    CRV/USDT |    194 |           0.08 |          16.41 |            16.431 |           1.64 |        0:12:00 |    162 |       0 |       32 |
|    CTK/USDT |     91 |           0.14 |          12.53 |            12.545 |           1.25 |        0:15:00 |     75 |       0 |       16 |
|   CTSI/USDT |    138 |          -0.18 |         -24.86 |           -24.886 |          -2.49 |        0:29:00 |    105 |       0 |       33 |
|   CTXC/USDT |     70 |           0.27 |          18.75 |            18.773 |           1.88 |        0:18:00 |     60 |       0 |       10 |
|    CVC/USDT |     92 |           0.21 |          18.99 |            19.007 |           1.90 |        0:23:00 |     77 |       0 |       15 |
|   DASH/USDT |     30 |          -0.55 |         -16.44 |           -16.453 |          -1.65 |        0:19:00 |     22 |       0 |        8 |
|   DATA/USDT |     69 |           0.28 |          19.22 |            19.236 |           1.92 |        0:29:00 |     56 |       0 |       13 |
