Result for strategy CombinedBinHAndCluc
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+--------+---------+----------|
|  1INCH/USDT |    126 |           0.20 |          25.00 |            25.020 |           2.50 |        0:48:00 |     79 |       0 |       47 |
|   AAVE/USDT |    104 |           0.41 |          42.39 |            42.435 |           4.24 |        1:13:00 |     71 |       0 |       33 |
|    ACM/USDT |     44 |          -0.33 |         -14.57 |           -14.581 |          -1.46 |        1:08:00 |     26 |       0 |       18 |
|    ADA/USDT |     99 |           0.59 |          57.95 |            58.006 |           5.80 |        1:09:00 |     73 |       0 |       26 |
|   AION/USDT |    173 |           0.32 |          54.88 |            54.931 |           5.49 |        1:45:00 |    112 |       0 |       61 |
|   AKRO/USDT |    117 |          -0.10 |         -11.68 |           -11.688 |          -1.17 |        1:03:00 |     74 |       0 |       43 |
|   ALGO/USDT |    158 |           0.45 |          71.32 |            71.395 |           7.14 |        1:05:00 |    110 |       0 |       48 |
|  ALICE/USDT |     26 |           0.04 |           0.93 |             0.930 |           0.09 |        1:03:00 |     15 |       0 |       11 |
|  ALPHA/USDT |    221 |           0.32 |          71.02 |            71.087 |           7.11 |        1:03:00 |    149 |       0 |       72 |
|   ANKR/USDT |    200 |           0.15 |          29.84 |            29.867 |           2.99 |        1:20:00 |    124 |       0 |       76 |
|    ANT/USDT |    125 |          -0.28 |         -34.99 |           -35.025 |          -3.50 |        1:06:00 |     78 |       0 |       47 |
|   ARDR/USDT |    116 |           0.42 |          49.05 |            49.099 |           4.91 |        1:28:00 |     77 |       0 |       39 |
|   ARPA/USDT |    151 |          -0.66 |         -99.96 |          -100.055 |         -10.01 |        1:34:00 |     77 |       0 |       74 |
|    ASR/USDT |    102 |           0.46 |          46.93 |            46.973 |           4.70 |        1:12:00 |     67 |       0 |       35 |
