Result for strategy MACDStrategy
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+--------+---------+----------|
|  1INCH/USDT |     85 |          -0.54 |         -45.49 |           -45.532 |          -4.55 |        5:01:00 |     70 |       0 |       15 |
|   AAVE/USDT |    113 |          -0.23 |         -25.94 |           -25.968 |          -2.60 |        8:46:00 |     84 |       0 |       29 |
|    ACM/USDT |     40 |           0.04 |           1.44 |             1.444 |           0.14 |        6:52:00 |     36 |       0 |        4 |
|    ADA/USDT |    169 |          -0.09 |         -15.85 |           -15.861 |          -1.59 |        9:20:00 |    121 |       0 |       48 |
|   AION/USDT |    260 |           0.46 |         118.44 |           118.554 |          11.86 |        6:42:00 |    218 |       0 |       42 |
|   AKRO/USDT |    128 |          -0.13 |         -16.33 |           -16.342 |          -1.63 |        5:20:00 |    105 |       0 |       23 |
|   ALGO/USDT |    195 |           0.28 |          54.38 |            54.433 |           5.44 |        6:39:00 |    158 |       0 |       37 |
|  ALICE/USDT |     15 |          -0.79 |         -11.86 |           -11.873 |          -1.19 |        7:59:00 |     12 |       0 |        3 |
|  ALPHA/USDT |    135 |           0.16 |          21.75 |            21.773 |           2.18 |        5:49:00 |    112 |       0 |       23 |
|   ANKR/USDT |    221 |           0.39 |          85.79 |            85.872 |           8.59 |        6:30:00 |    190 |       0 |       31 |
|    ANT/USDT |    168 |          -0.31 |         -52.32 |           -52.370 |          -5.24 |        6:11:00 |    128 |       0 |       40 |
|   ARDR/USDT |    226 |           0.54 |         122.93 |           123.049 |          12.30 |        5:20:00 |    189 |       0 |       37 |
|   ARPA/USDT |    228 |           0.38 |          86.64 |            86.723 |           8.67 |        6:16:00 |    191 |       0 |       37 |
|    ASR/USDT |    122 |           0.44 |          53.70 |            53.751 |           5.38 |        5:06:00 |    106 |       0 |       16 |
|    ATM/USDT |    117 |           0.21 |          24.54 |            24.566 |           2.46 |        3:54:00 |    103 |       0 |       14 |
|   ATOM/USDT |    150 |          -0.10 |         -15.39 |           -15.405 |          -1.54 |        8:06:00 |    111 |       0 |       39 |
