Result for strategy MACDStrategy_crossed
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  1INCH/USDT |     16 |          -0.66 |         -10.56 |           -10.571 |          -1.06 |         10:17:00 |     15 |       0 |        1 |
|   AAVE/USDT |     36 |          -0.68 |         -24.35 |           -24.370 |          -2.44 |         20:39:00 |     30 |       0 |        6 |
|    ACM/USDT |     11 |           1.67 |          18.38 |            18.396 |           1.84 |          5:43:00 |     11 |       0 |        0 |
|    ADA/USDT |     39 |           0.84 |          32.92 |            32.952 |           3.30 |   1 day, 1:38:00 |     35 |       0 |        4 |
|   AION/USDT |     49 |          -0.11 |          -5.19 |            -5.191 |          -0.52 |  1 day, 22:13:00 |     43 |       0 |        6 |
|   AKRO/USDT |     30 |          -0.56 |         -16.71 |           -16.726 |          -1.67 |         14:22:00 |     28 |       0 |        2 |
|   ALGO/USDT |     59 |           0.47 |          27.75 |            27.779 |           2.78 |         16:03:00 |     55 |       0 |        4 |
|  ALICE/USDT |      5 |           2.40 |          11.99 |            12.000 |           1.20 |          1:31:00 |      5 |       0 |        0 |
|  ALPHA/USDT |     32 |           1.40 |          44.83 |            44.872 |           4.49 |          4:59:00 |     32 |       0 |        0 |
|   ANKR/USDT |     82 |           1.30 |         106.64 |           106.746 |          10.67 |         10:26:00 |     82 |       0 |        0 |
|    ANT/USDT |     59 |          -0.43 |         -25.38 |           -25.405 |          -2.54 |         14:38:00 |     53 |       0 |        6 |
|   ARDR/USDT |     52 |           0.25 |          13.19 |            13.205 |           1.32 |          9:40:00 |     49 |       0 |        3 |
|   ARPA/USDT |     82 |           0.82 |          66.99 |            67.059 |           6.71 |         17:58:00 |     78 |       0 |        4 |
|    ASR/USDT |     30 |           0.45 |          13.56 |            13.578 |           1.36 |          7:53:00 |     29 |       0 |        1 |
|    ATM/USDT |     34 |           0.33 |          11.11 |            11.119 |           1.11 |          8:26:00 |     32 |       0 |        2 |
|   ATOM/USDT |     43 |           0.50 |          21.63 |            21.656 |           2.17 |   1 day, 3:10:00 |     42 |       0 |        1 |
|  AUDIO/USDT |     49 |          -0.13 |          -6.58 |            -6.587 |          -0.66 |         14:13:00 |     45 |       0 |        4 |
|    AVA/USDT |     22 |           1.52 |          33.52 |            33.553 |           3.36 |         12:55:00 |     22 |       0 |        0 |
|   AVAX/USDT |     31 |           0.62 |          19.37 |            19.386 |           1.94 |         14:50:00 |     29 |       0 |        2 |
|    AXS/USDT |     31 |           0.53 |          16.52 |            16.533 |           1.65 |          9:33:00 |     29 |       0 |        2 |
| BADGER/USDT |     12 |           1.50 |          17.98 |            18.000 |           1.80 |          7:21:00 |     12 |       0 |        0 |
|    BAL/USDT |     36 |           0.34 |          12.10 |            12.109 |           1.21 |         10:06:00 |     33 |       0 |        3 |
|   BAND/USDT |     69 |           0.06 |           4.13 |             4.137 |           0.41 |         10:41:00 |     65 |       0 |        4 |
|    BAT/USDT |     48 |           0.64 |          30.67 |            30.697 |           3.07 |   1 day, 1:11:00 |     45 |       0 |        3 |
|    BCH/USDT |     38 |           0.84 |          32.05 |            32.085 |           3.21 |         23:04:00 |     36 |       0 |        2 |
|   BEAM/USDT |     69 |           0.51 |          34.86 |            34.894 |           3.49 |         17:54:00 |     67 |       0 |        2 |
|    BEL/USDT |     49 |          -0.26 |         -12.57 |           -12.586 |          -1.26 |         12:26:00 |     45 |       0 |        4 |
|    BLZ/USDT |     48 |           0.00 |           0.07 |             0.068 |           0.01 |         13:59:00 |     45 |       0 |        3 |
|    BNB/USDT |     37 |           0.62 |          22.77 |            22.791 |           2.28 |  1 day, 14:40:00 |     35 |       0 |        2 |
|    BNT/USDT |     63 |           0.60 |          37.50 |            37.533 |           3.75 |         22:36:00 |     59 |       0 |        4 |
|    BTC/USDT |     26 |           0.50 |          12.98 |            12.990 |           1.30 |   1 day, 7:12:00 |     23 |       0 |        3 |
|  BTCST/USDT |     24 |          -0.03 |          -0.83 |            -0.826 |          -0.08 |         12:09:00 |     23 |       0 |        1 |
|    BTS/USDT |     51 |          -0.22 |         -11.15 |           -11.165 |          -1.12 |         22:38:00 |     46 |       0 |        5 |
|    BTT/USDT |     67 |           0.66 |          44.13 |            44.174 |           4.42 |         20:40:00 |     62 |       0 |        5 |
|   BZRX/USDT |     39 |          -0.11 |          -4.15 |            -4.157 |          -0.42 |         11:40:00 |     37 |       0 |        2 |
|   CAKE/USDT |      6 |          -3.78 |         -22.68 |           -22.699 |          -2.27 | 2 days, 12:44:00 |      5 |       0 |        1 |
|   CELO/USDT |     26 |           1.46 |          37.84 |            37.876 |           3.79 |          2:35:00 |     26 |       0 |        0 |
|   CELR/USDT |     65 |           0.71 |          46.37 |            46.414 |           4.64 |         19:55:00 |     63 |       0 |        2 |
|    CHR/USDT |     75 |          -0.08 |          -6.18 |            -6.186 |          -0.62 |         11:20:00 |     71 |       0 |        4 |
|    CHZ/USDT |     51 |           1.21 |          61.75 |            61.807 |           6.18 |         11:11:00 |     51 |       0 |        0 |
|    CKB/USDT |     19 |          -0.57 |         -10.87 |           -10.879 |          -1.09 |          9:36:00 |     16 |       0 |        3 |
|   COMP/USDT |     54 |           0.96 |          51.78 |            51.833 |           5.18 |          7:08:00 |     53 |       0 |        1 |
|    COS/USDT |     67 |           0.29 |          19.14 |            19.159 |           1.92 |   1 day, 7:33:00 |     61 |       0 |        6 |
|   COTI/USDT |     63 |           1.37 |          86.28 |            86.371 |           8.64 |          5:14:00 |     63 |       0 |        0 |
|    CRV/USDT |     39 |          -1.22 |         -47.46 |           -47.512 |          -4.75 |          6:47:00 |     36 |       0 |        3 |
|    CTK/USDT |     35 |           1.10 |          38.64 |            38.675 |           3.87 |          7:26:00 |     34 |       0 |        1 |
