Result for strategy Quickie
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  1INCH/USDT |     70 |           0.42 |          29.14 |            29.171 |           2.92 |          5:44:00 |     66 |       0 |        4 |
|   AAVE/USDT |     74 |           0.25 |          18.27 |            18.291 |           1.83 |         16:38:00 |     70 |       0 |        4 |
|    ACM/USDT |     17 |           1.45 |          24.66 |            24.687 |           2.47 |          5:14:00 |     17 |       0 |        0 |
|    ADA/USDT |     67 |           0.04 |           2.41 |             2.409 |           0.24 |   1 day, 8:36:00 |     63 |       0 |        4 |
|   AION/USDT |     73 |           1.22 |          88.72 |            88.810 |           8.88 |         17:50:00 |     72 |       0 |        1 |
|   AKRO/USDT |     77 |           0.25 |          19.54 |            19.562 |           1.96 |          9:46:00 |     73 |       0 |        4 |
|   ALGO/USDT |     75 |           0.59 |          43.96 |            44.008 |           4.40 |         16:03:00 |     72 |       0 |        3 |
|  ALICE/USDT |      7 |          -2.31 |         -16.17 |           -16.181 |          -1.62 |          9:45:00 |      6 |       0 |        1 |
|  ALPHA/USDT |     58 |           0.30 |          17.61 |            17.628 |           1.76 |         12:19:00 |     55 |       0 |        3 |
|   ANKR/USDT |     83 |           1.40 |         116.38 |           116.497 |          11.65 |          8:15:00 |     83 |       0 |        0 |
|    ANT/USDT |     69 |           0.38 |          25.96 |            25.990 |           2.60 |         17:05:00 |     65 |       0 |        4 |
|   ARDR/USDT |     66 |           1.32 |          87.29 |            87.373 |           8.74 |         12:08:00 |     66 |       0 |        0 |
|   ARPA/USDT |    101 |           1.16 |         117.58 |           117.701 |          11.77 |          9:13:00 |    100 |       0 |        1 |
|    ASR/USDT |     47 |           0.37 |          17.29 |            17.307 |           1.73 |          6:54:00 |     45 |       0 |        2 |
|    ATM/USDT |     49 |          -0.15 |          -7.40 |            -7.410 |          -0.74 |          7:33:00 |     45 |       0 |        4 |
|   ATOM/USDT |     65 |           0.36 |          23.37 |            23.397 |           2.34 |   1 day, 3:35:00 |     62 |       0 |        3 |
|  AUDIO/USDT |     80 |           0.27 |          21.60 |            21.625 |           2.16 |         12:02:00 |     75 |       0 |        5 |
