Result for strategy Strategy002
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  1INCH/USDT |      5 |           2.60 |          12.99 |            13.000 |           1.30 |          1:17:00 |      5 |       0 |        0 |
|   AAVE/USDT |      7 |           1.36 |           9.54 |             9.547 |           0.95 |          3:11:00 |      6 |       0 |        1 |
|    ACM/USDT |      3 |           1.78 |           5.35 |             5.354 |           0.54 |          1:28:00 |      3 |       0 |        0 |
|    ADA/USDT |     17 |          -0.37 |          -6.25 |            -6.259 |          -0.63 |          6:44:00 |     13 |       0 |        4 |
|   AION/USDT |     22 |           1.04 |          22.87 |            22.894 |           2.29 |          5:22:00 |     21 |       0 |        1 |
|   AKRO/USDT |     13 |           1.89 |          24.54 |            24.564 |           2.46 |          2:33:00 |     13 |       0 |        0 |
|   ALGO/USDT |     19 |          -0.69 |         -13.14 |           -13.155 |          -1.32 |          9:43:00 |     14 |       0 |        5 |
|  ALICE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|  ALPHA/USDT |      8 |           1.77 |          14.19 |            14.203 |           1.42 |          3:42:00 |      7 |       0 |        1 |
|   ANKR/USDT |     22 |           0.50 |          10.94 |            10.949 |           1.09 |          8:00:00 |     20 |       0 |        2 |
|    ANT/USDT |     23 |           0.47 |          10.91 |            10.920 |           1.09 |          5:27:00 |     20 |       0 |        3 |
|   ARDR/USDT |     18 |           0.36 |           6.44 |             6.446 |           0.64 |          4:59:00 |     17 |       0 |        1 |
|   ARPA/USDT |     35 |           0.26 |           9.23 |             9.237 |           0.92 |          7:40:00 |     27 |       0 |        8 |
|    ASR/USDT |      7 |          -0.06 |          -0.41 |            -0.408 |          -0.04 |          1:20:00 |      6 |       0 |        1 |
|    ATM/USDT |      9 |           1.33 |          11.95 |            11.957 |           1.20 |          6:36:00 |      8 |       0 |        1 |
|   ATOM/USDT |     23 |           0.02 |           0.44 |             0.441 |           0.04 |          4:49:00 |     19 |       0 |        4 |
|  AUDIO/USDT |     17 |           1.10 |          18.75 |            18.766 |           1.88 |          3:04:00 |     16 |       0 |        1 |
|    AVA/USDT |     12 |           0.33 |           4.00 |             4.004 |           0.40 |          4:22:00 |     10 |       0 |        2 |
|   AVAX/USDT |     17 |           1.46 |          24.80 |            24.828 |           2.48 |          6:16:00 |     17 |       0 |        0 |
|    AXS/USDT |     13 |           1.32 |          17.15 |            17.171 |           1.72 |          3:28:00 |     13 |       0 |        0 |
| BADGER/USDT |      2 |          -4.59 |          -9.18 |            -9.190 |          -0.92 |         14:50:00 |      1 |       0 |        1 |
