Result for strategy Strategy005
============================================================== BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+-----------------+--------+---------+----------|
|  1INCH/USDT |     68 |           1.01 |          68.44 |            68.512 |           6.85 |         2:38:00 |     54 |       0 |       14 |
|   AAVE/USDT |     85 |           0.67 |          57.15 |            57.212 |           5.72 |         4:01:00 |     70 |       0 |       15 |
|    ACM/USDT |     30 |           0.31 |           9.39 |             9.404 |           0.94 |         2:47:00 |     24 |       0 |        6 |
|    ADA/USDT |    153 |           0.43 |          65.58 |            65.650 |           6.57 |         5:56:00 |    127 |       0 |       26 |
|   AION/USDT |    312 |           0.33 |         104.03 |           104.129 |          10.41 |         5:13:00 |    256 |       0 |       56 |
|   AKRO/USDT |    162 |           0.46 |          74.73 |            74.802 |           7.48 |         2:48:00 |    132 |       0 |       30 |
|   ALGO/USDT |    206 |           0.33 |          67.39 |            67.462 |           6.75 |         3:44:00 |    165 |       0 |       41 |
|  ALICE/USDT |      7 |          -1.11 |          -7.74 |            -7.748 |          -0.77 |         3:09:00 |      3 |       0 |        4 |
|  ALPHA/USDT |    130 |           0.23 |          29.69 |            29.717 |           2.97 |         2:43:00 |    101 |       0 |       29 |
|   ANKR/USDT |    296 |           0.34 |          99.20 |            99.297 |           9.93 |         3:20:00 |    240 |       0 |       56 |
|    ANT/USDT |    204 |          -0.13 |         -27.24 |           -27.265 |          -2.73 |         4:14:00 |    157 |       0 |       47 |
|   ARDR/USDT |    333 |           0.28 |          93.81 |            93.905 |           9.39 |         5:02:00 |    280 |       0 |       53 |
|   ARPA/USDT |    264 |           0.09 |          22.57 |            22.596 |           2.26 |         4:25:00 |    195 |       0 |       69 |
|    ASR/USDT |    132 |           0.41 |          54.23 |            54.285 |           5.43 |         1:49:00 |    107 |       0 |       25 |
|    ATM/USDT |    128 |           0.39 |          49.49 |            49.537 |           4.95 |         2:16:00 |    110 |       0 |       18 |
|   ATOM/USDT |    192 |          -0.00 |          -0.58 |            -0.581 |          -0.06 |         5:38:00 |    144 |       0 |       48 |
|  AUDIO/USDT |    161 |           0.13 |          20.51 |            20.527 |           2.05 |         3:31:00 |    126 |       0 |       35 |
|    AVA/USDT |    150 |           0.33 |          49.55 |            49.599 |           4.96 |         5:06:00 |    123 |       0 |       27 |
|   AVAX/USDT |    112 |           0.33 |          36.73 |            36.765 |           3.68 |         6:05:00 |     89 |       0 |       23 |
|    AXS/USDT |    122 |           0.08 |          10.12 |            10.127 |           1.01 |         2:56:00 |     98 |       0 |       24 |
| BADGER/USDT |     23 |           0.70 |          16.00 |            16.012 |           1.60 |         1:54:00 |     20 |       0 |        3 |
|    BAL/USDT |    173 |          -0.75 |        -129.58 |          -129.705 |         -12.97 |         4:04:00 |    129 |       0 |       44 |
|   BAND/USDT |    178 |           0.29 |          52.04 |            52.090 |           5.21 |         3:36:00 |    146 |       0 |       32 |
|    BAT/USDT |    200 |           0.11 |          21.33 |            21.349 |           2.13 |         6:15:00 |    146 |       0 |       54 |
|    BCH/USDT |    144 |           0.25 |          35.56 |            35.594 |           3.56 |         3:46:00 |    117 |       0 |       27 |
|   BEAM/USDT |    408 |           0.04 |          17.20 |            17.215 |           1.72 |         5:33:00 |    315 |       0 |       93 |
|    BEL/USDT |    114 |           0.45 |          51.00 |            51.053 |           5.11 |         3:10:00 |     89 |       0 |       25 |
|    BLZ/USDT |    154 |          -0.38 |         -58.70 |           -58.759 |          -5.88 |         4:42:00 |    118 |       0 |       36 |
|    BNB/USDT |     72 |           0.04 |           2.78 |             2.784 |           0.28 |         3:45:00 |     55 |       0 |       17 |
|    BNT/USDT |    312 |           0.00 |           0.46 |             0.457 |           0.05 |         4:41:00 |    253 |       0 |       59 |
|    BTC/USDT |     53 |           0.20 |          10.59 |            10.600 |           1.06 |        13:56:00 |     39 |       0 |       14 |
|  BTCST/USDT |     75 |           0.81 |          60.50 |            60.562 |           6.06 |         2:37:00 |     60 |       0 |       15 |
|    BTS/USDT |    326 |           0.05 |          15.03 |            15.044 |           1.50 |         6:03:00 |    266 |       0 |       60 |
|    BTT/USDT |    101 |           0.50 |          50.46 |            50.507 |           5.05 |         6:27:00 |     77 |       0 |       24 |
|   BZRX/USDT |    135 |           0.61 |          82.17 |            82.257 |           8.23 |         2:43:00 |    110 |       0 |       25 |
|   CAKE/USDT |     16 |           1.08 |          17.24 |            17.256 |           1.73 |         2:14:00 |     13 |       0 |        3 |
|   CELO/USDT |    119 |           0.59 |          70.09 |            70.163 |           7.02 |         2:01:00 |     99 |       0 |       20 |
|   CELR/USDT |    348 |          -0.17 |         -60.25 |           -60.308 |          -6.03 |         4:04:00 |    267 |       0 |       81 |
|    CHR/USDT |    280 |          -0.01 |          -2.87 |            -2.874 |          -0.29 |         4:09:00 |    216 |       0 |       64 |
|    CHZ/USDT |    272 |           0.21 |          58.08 |            58.137 |           5.81 |         4:48:00 |    211 |       0 |       61 |
|    CKB/USDT |     56 |          -0.11 |          -5.96 |            -5.967 |          -0.60 |         3:58:00 |     43 |       0 |       13 |
|   COMP/USDT |    174 |          -0.06 |         -11.01 |           -11.019 |          -1.10 |         5:31:00 |    138 |       0 |       36 |
|    COS/USDT |    360 |           0.27 |          96.95 |            97.049 |           9.70 |         4:37:00 |    298 |       0 |       62 |
|   COTI/USDT |    276 |           0.38 |         103.51 |           103.618 |          10.36 |         4:06:00 |    230 |       0 |       46 |
|    CRV/USDT |     85 |          -0.34 |         -29.11 |           -29.137 |          -2.91 |         3:30:00 |     67 |       0 |       18 |
|    CTK/USDT |     86 |           0.06 |           5.34 |             5.348 |           0.53 |         3:10:00 |     69 |       0 |       17 |
|   CTSI/USDT |    345 |           0.25 |          86.35 |            86.440 |           8.64 |         4:12:00 |    277 |       0 |       68 |
|   CTXC/USDT |    338 |           0.10 |          34.80 |            34.831 |           3.48 |         5:13:00 |    269 |       0 |       69 |
|    CVC/USDT |    259 |           0.06 |          16.83 |            16.848 |           1.68 |         5:20:00 |    223 |       0 |       36 |
|   DASH/USDT |    155 |           0.03 |           4.38 |             4.381 |           0.44 |         9:39:00 |    123 |       0 |       32 |
|   DATA/USDT |    370 |           0.29 |         108.03 |           108.140 |          10.81 |         4:25:00 |    309 |       0 |       61 |
|    DCR/USDT |    295 |          -0.04 |         -11.91 |           -11.921 |          -1.19 |         5:25:00 |    226 |       0 |       69 |
|   DEGO/USDT |      6 |           2.52 |          15.13 |            15.148 |           1.51 |         6:08:00 |      6 |       0 |        0 |
|   DENT/USDT |    450 |           0.53 |         240.27 |           240.511 |          24.05 |         3:43:00 |    390 |       0 |       60 |
|    DGB/USDT |    225 |           0.14 |          32.58 |            32.611 |           3.26 |         4:42:00 |    179 |       0 |       46 |
|    DIA/USDT |    162 |           0.16 |          25.90 |            25.927 |           2.59 |         3:24:00 |    127 |       0 |       35 |
|    DNT/USDT |    118 |           0.75 |          88.32 |            88.404 |           8.84 |         2:00:00 |    108 |       0 |       10 |
|   DOCK/USDT |    368 |           0.32 |         119.07 |           119.193 |          11.92 |         3:22:00 |    307 |       0 |       61 |
|   DODO/USDT |     16 |          -0.41 |          -6.60 |            -6.611 |          -0.66 |         4:27:00 |     10 |       0 |        6 |
|   DOGE/USDT |    185 |           0.07 |          12.44 |            12.452 |           1.25 |         8:54:00 |    142 |       0 |       43 |
|    DOT/USDT |     67 |           0.51 |          34.04 |            34.071 |           3.41 |         2:08:00 |     57 |       0 |       10 |
|   DREP/USDT |    406 |           0.54 |         219.98 |           220.202 |          22.02 |         4:34:00 |    354 |       0 |       52 |
|   DUSK/USDT |    320 |           0.17 |          53.96 |            54.011 |           5.40 |         3:59:00 |    266 |       0 |       54 |
|   EGLD/USDT |     73 |           0.30 |          21.77 |            21.791 |           2.18 |         7:10:00 |     59 |       0 |       14 |
|    ENJ/USDT |    191 |           0.09 |          17.05 |            17.063 |           1.71 |         5:51:00 |    156 |       0 |       35 |
|    EOS/USDT |     91 |          -0.04 |          -3.73 |            -3.735 |          -0.37 |         8:56:00 |     81 |       0 |       10 |
|    ETC/USDT |    115 |           0.02 |           2.83 |             2.830 |           0.28 |         6:59:00 |     89 |       0 |       26 |
|    ETH/USDT |     34 |           0.15 |           4.97 |             4.973 |           0.50 |         2:31:00 |     25 |       0 |        9 |
|    FET/USDT |    239 |           0.11 |          26.87 |            26.902 |           2.69 |         4:15:00 |    188 |       0 |       51 |
|    FIL/USDT |     71 |          -0.25 |         -17.80 |           -17.815 |          -1.78 |         9:37:00 |     57 |       0 |       14 |
|    FIO/USDT |    202 |           0.03 |           6.22 |             6.227 |           0.62 |         5:55:00 |    165 |       0 |       37 |
|   FIRO/USDT |     59 |           0.29 |          17.34 |            17.357 |           1.74 |         2:32:00 |     46 |       0 |       13 |
|    FIS/USDT |     18 |          -0.20 |          -3.59 |            -3.598 |          -0.36 |         1:57:00 |     14 |       0 |        4 |
|    FLM/USDT |     74 |          -0.26 |         -18.88 |           -18.896 |          -1.89 |         3:08:00 |     56 |       0 |       18 |
|    FTM/USDT |    266 |           0.02 |           6.56 |             6.566 |           0.66 |         3:43:00 |    206 |       0 |       60 |
|    FTT/USDT |    226 |          -0.14 |         -30.66 |           -30.687 |          -3.07 |         9:41:00 |    182 |       0 |       44 |
|    FUN/USDT |    364 |           0.05 |          18.38 |            18.398 |           1.84 |         5:17:00 |    300 |       0 |       64 |
|    GRT/USDT |     29 |           0.79 |          22.93 |            22.955 |           2.30 |         2:30:00 |     25 |       0 |        4 |
